date,Pasture,Biomass,Year,NDVI,CP,BARE,SD,GREEN,LITT,NDVI_raw_x,Biomass_raw_x,NDVI_raw_y,Biomass_raw_y,NDVI_raw,Biomass_raw
2099-01-15,12NW,638.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-15,12NWcorner,583.0,long-term avg.,0.156,,,,,,,,,,,
2099-01-15,12SE-N,706.0,long-term avg.,0.111,,,,,,,,,,,
2099-01-15,13E,821.0,long-term avg.,0.132,,,,,,,,,,,
2099-01-15,13W,716.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-15,15E,905.0,long-term avg.,0.123,,,,,,,,,,,
2099-01-15,17N,971.0,long-term avg.,0.122,,,,,,,,,,,
2099-01-15,18N,982.0,long-term avg.,0.133,,,,,,,,,,,
2099-01-15,19N,1032.0,long-term avg.,0.135,,,,,,,,,,,
2099-01-15,1E,726.0,long-term avg.,0.116,,,,,,,,,,,
2099-01-15,1W,704.0,long-term avg.,0.115,,,,,,,,,,,
2099-01-15,20SE,1069.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-15,21SE,763.0,long-term avg.,0.121,,,,,,,,,,,
2099-01-15,21SEcorral,600.0,long-term avg.,0.132,,,,,,,,,,,
2099-01-15,21SW,670.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-15,23E,985.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-15,23W,919.0,long-term avg.,0.139,,,,,,,,,,,
2099-01-15,24 Grazing,880.0,long-term avg.,0.118,,,,,,,,,,,
2099-01-15,24E,1014.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-15,24W,1003.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-15,25SE,924.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-15,26SE-N Pvt,1075.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-15,26SW-N Pvt.,749.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-15,28N,667.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-15,31W,872.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-15,32W,659.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-15,6EE,682.0,long-term avg.,0.115,,,,,,,,,,,
2099-01-15,6EW,750.0,long-term avg.,0.118,,,,,,,,,,,
2099-01-15,7NW,928.0,long-term avg.,0.12,,,,,,,,,,,
2099-01-15,CenterCreek,722.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-15,CenterCreek - Longspur,885.0,long-term avg.,0.133,,,,,,,,,,,
2099-01-15,CenterCreek - Prairie Dog,803.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-15,ESA,735.0,long-term avg.,0.14,,,,,,,,,,,
2099-01-15,HQ,653.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-15,HighHawk,714.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-15,HighHawk - Longspur,665.0,long-term avg.,0.122,,,,,,,,,,,
2099-01-15,HighHawk - Prairie Dog,729.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-15,LTER1,748.0,long-term avg.,0.137,,,,,,,,,,,
2099-01-15,LTER2,750.0,long-term avg.,0.14,,,,,,,,,,,
2099-01-15,LTER3,689.0,long-term avg.,0.133,,,,,,,,,,,
2099-01-15,LTER4,637.0,long-term avg.,0.131,,,,,,,,,,,
2099-01-15,OwlCreek,928.0,long-term avg.,0.131,,,,,,,,,,,
2099-01-15,OwlCreek - Longspur,750.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-15,OwlCreek - Prairie Dog,955.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-15,PrairieRidge,834.0,long-term avg.,0.116,,,,,,,,,,,
2099-01-15,Pvt-12NE,634.0,long-term avg.,0.118,,,,,,,,,,,
2099-01-15,Pvt-14,765.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-15,Pvt-30SW,898.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-15,Pvt-8SW,679.0,long-term avg.,0.119,,,,,,,,,,,
2099-01-15,Res. #2,937.0,long-term avg.,0.138,,,,,,,,,,,
2099-01-15,SaltTree,950.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-15,Slayton,688.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-15,Spring,504.0,long-term avg.,0.145,,,,,,,,,,,
2099-01-15,UNK,817.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-15,WeatherStation,863.0,long-term avg.,0.139,,,,,,,,,,,
2099-01-22,12C,664.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-22,12NW,655.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-22,12NWcorner,575.0,long-term avg.,0.155,,,,,,,,,,,
2099-01-22,12SE-N,710.0,long-term avg.,0.112,,,,,,,,,,,
2099-01-22,13E,807.0,long-term avg.,0.131,,,,,,,,,,,
2099-01-22,13W,709.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-22,15E,894.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-22,17N,947.0,long-term avg.,0.122,,,,,,,,,,,
2099-01-22,18N,967.0,long-term avg.,0.131,,,,,,,,,,,
2099-01-22,19N,1029.0,long-term avg.,0.133,,,,,,,,,,,
2099-01-22,1E,723.0,long-term avg.,0.117,,,,,,,,,,,
2099-01-22,1W,690.0,long-term avg.,0.117,,,,,,,,,,,
2099-01-22,20SE,1049.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-22,21SE,757.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-22,21SEcorral,596.0,long-term avg.,0.136,,,,,,,,,,,
2099-01-22,21SW,671.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-22,23E,971.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-22,23W,901.0,long-term avg.,0.14,,,,,,,,,,,
2099-01-22,24 Grazing,869.0,long-term avg.,0.12,,,,,,,,,,,
2099-01-22,24E,1005.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-22,24W,995.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-22,25SE,914.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-22,26SE-N Pvt,1052.0,long-term avg.,0.132,,,,,,,,,,,
2099-01-22,26SW-N Pvt.,746.0,long-term avg.,0.13,,,,,,,,,,,
2099-01-22,28N,662.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-22,31W,853.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-22,32W,650.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-22,6EE,667.0,long-term avg.,0.116,,,,,,,,,,,
2099-01-22,6EW,738.0,long-term avg.,0.118,,,,,,,,,,,
2099-01-22,7NW,933.0,long-term avg.,0.12,,,,,,,,,,,
2099-01-22,CenterCreek,731.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-22,CenterCreek - Longspur,880.0,long-term avg.,0.133,,,,,,,,,,,
2099-01-22,CenterCreek - Prairie Dog,799.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-22,ESA,732.0,long-term avg.,0.139,,,,,,,,,,,
2099-01-22,HQ,661.0,long-term avg.,0.127,,,,,,,,,,,
2099-01-22,HighHawk,705.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-22,HighHawk - Longspur,658.0,long-term avg.,0.123,,,,,,,,,,,
2099-01-22,HighHawk - Prairie Dog,719.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-22,LTER1,751.0,long-term avg.,0.138,,,,,,,,,,,
2099-01-22,LTER2,767.0,long-term avg.,0.147,,,,,,,,,,,
2099-01-22,LTER3,687.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-22,LTER4,627.0,long-term avg.,0.132,,,,,,,,,,,
2099-01-22,OwlCreek,921.0,long-term avg.,0.13,,,,,,,,,,,
2099-01-22,OwlCreek - Longspur,748.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-22,OwlCreek - Prairie Dog,949.0,long-term avg.,0.125,,,,,,,,,,,
2099-01-22,PrairieRidge,818.0,long-term avg.,0.117,,,,,,,,,,,
2099-01-22,Pvt-12NE,649.0,long-term avg.,0.119,,,,,,,,,,,
2099-01-22,Pvt-14,756.0,long-term avg.,0.129,,,,,,,,,,,
2099-01-22,Pvt-30SW,877.0,long-term avg.,0.134,,,,,,,,,,,
2099-01-22,Pvt-8SW,664.0,long-term avg.,0.12,,,,,,,,,,,
2099-01-22,Res. #2,943.0,long-term avg.,0.132,,,,,,,,,,,
2099-01-22,SaltTree,936.0,long-term avg.,0.128,,,,,,,,,,,
2099-01-22,Slayton,685.0,long-term avg.,0.124,,,,,,,,,,,
2099-01-22,Spring,516.0,long-term avg.,0.147,,,,,,,,,,,
2099-01-22,UNK,803.0,long-term avg.,0.126,,,,,,,,,,,
2099-01-22,WeatherStation,871.0,long-term avg.,0.142,,,,,,,,,,,
2099-01-29,12C,661.0,long-term avg.,0.119,9.41,,,,,,,,,,
2099-01-29,12NW,670.0,long-term avg.,0.117,9.41,,,,,,,,,,
2099-01-29,12NWcorner,586.0,long-term avg.,0.148,,,,,,,,,,,
2099-01-29,12SE-N,696.0,long-term avg.,0.105,9.41,,,,,,,,,,
2099-01-29,13E,786.0,long-term avg.,0.124,9.41,,,,,,,,,,
2099-01-29,13W,699.0,long-term avg.,0.121,9.41,,,,,,,,,,
2099-01-29,15E,891.0,long-term avg.,0.12,9.41,,,,,,,,,,
2099-01-29,17N,932.0,long-term avg.,0.115,9.41,,,,,,,,,,
2099-01-29,18N,943.0,long-term avg.,0.124,9.41,,,,,,,,,,
2099-01-29,19N,1013.0,long-term avg.,0.125,9.41,,,,,,,,,,
2099-01-29,1E,718.0,long-term avg.,0.112,9.41,,,,,,,,,,
2099-01-29,1W,689.0,long-term avg.,0.112,9.41,,,,,,,,,,
2099-01-29,20SE,1014.0,long-term avg.,0.12,9.41,,,,,,,,,,
2099-01-29,21SE,760.0,long-term avg.,0.12,,,,,,,,,,,
2099-01-29,21SEcorral,602.0,long-term avg.,0.138,,,,,,,,,,,
2099-01-29,21SW,677.0,long-term avg.,0.126,9.41,,,,,,,,,,
2099-01-29,23E,958.0,long-term avg.,0.12,9.41,,,,,,,,,,
2099-01-29,23W,888.0,long-term avg.,0.137,9.41,,,,,,,,,,
2099-01-29,24 Grazing,861.0,long-term avg.,0.114,9.41,,,,,,,,,,
2099-01-29,24E,990.0,long-term avg.,0.119,9.41,,,,,,,,,,
2099-01-29,24W,983.0,long-term avg.,0.12,9.41,,,,,,,,,,
2099-01-29,25SE,923.0,long-term avg.,0.119,9.41,,,,,,,,,,
2099-01-29,26SE-N Pvt,1039.0,long-term avg.,0.13,9.41,,,,,,,,,,
2099-01-29,26SW-N Pvt.,746.0,long-term avg.,0.126,9.41,,,,,,,,,,
2099-01-29,28N,658.0,long-term avg.,0.126,9.41,,,,,,,,,,
2099-01-29,31W,847.0,long-term avg.,0.123,9.41,,,,,,,,,,
2099-01-29,32W,645.0,long-term avg.,0.117,9.41,,,,,,,,,,
2099-01-29,6EE,658.0,long-term avg.,0.11,9.41,,,,,,,,,,
2099-01-29,6EW,729.0,long-term avg.,0.112,9.41,,,,,,,,,,
2099-01-29,7NW,917.0,long-term avg.,0.111,9.41,,,,,,,,,,
2099-01-29,CenterCreek,748.0,long-term avg.,0.123,9.41,,,,,,,,,,
2099-01-29,CenterCreek - Longspur,884.0,long-term avg.,0.128,9.41,,,,,,,,,,
2099-01-29,CenterCreek - Prairie Dog,806.0,long-term avg.,0.123,9.41,,,,,,,,,,
2099-01-29,ESA,727.0,long-term avg.,0.138,9.41,,,,,,,,,,
2099-01-29,HQ,655.0,long-term avg.,0.119,9.41,,,,,,,,,,
2099-01-29,HighHawk,705.0,long-term avg.,0.126,9.41,,,,,,,,,,
2099-01-29,HighHawk - Longspur,666.0,long-term avg.,0.12,9.41,,,,,,,,,,
2099-01-29,HighHawk - Prairie Dog,723.0,long-term avg.,0.126,9.41,,,,,,,,,,
2099-01-29,LTER1,749.0,long-term avg.,0.137,,,,,,,,,,,
2099-01-29,LTER2,759.0,long-term avg.,0.146,,,,,,,,,,,
2099-01-29,LTER3,677.0,long-term avg.,0.133,9.41,,,,,,,,,,
2099-01-29,LTER4,620.0,long-term avg.,0.13,9.41,,,,,,,,,,
2099-01-29,OwlCreek,916.0,long-term avg.,0.124,9.41,,,,,,,,,,
2099-01-29,OwlCreek - Longspur,748.0,long-term avg.,0.118,9.41,,,,,,,,,,
2099-01-29,OwlCreek - Prairie Dog,941.0,long-term avg.,0.119,9.41,,,,,,,,,,
2099-01-29,PrairieRidge,806.0,long-term avg.,0.11,9.41,,,,,,,,,,
2099-01-29,Pvt-12NE,654.0,long-term avg.,0.112,9.41,,,,,,,,,,
2099-01-29,Pvt-14,746.0,long-term avg.,0.122,9.41,,,,,,,,,,
2099-01-29,Pvt-30SW,876.0,long-term avg.,0.129,9.41,,,,,,,,,,
2099-01-29,Pvt-8SW,664.0,long-term avg.,0.113,9.41,,,,,,,,,,
2099-01-29,Res. #2,925.0,long-term avg.,0.125,9.41,,,,,,,,,,
2099-01-29,SaltTree,916.0,long-term avg.,0.121,9.41,,,,,,,,,,
2099-01-29,Slayton,684.0,long-term avg.,0.117,9.41,,,,,,,,,,
2099-01-29,Spring,528.0,long-term avg.,0.146,,,,,,,,,,,
2099-01-29,UNK,802.0,long-term avg.,0.122,9.41,,,,,,,,,,
2099-01-29,WeatherStation,893.0,long-term avg.,0.141,,,,,,,,,,,
2099-02-05,12C,646.0,long-term avg.,0.116,9.38,,,,,,,,,,
2099-02-05,12NW,672.0,long-term avg.,0.114,9.4,,,,,,,,,,
2099-02-05,12NWcorner,598.0,long-term avg.,0.142,9.41,,,,,,,,,,
2099-02-05,12SE-N,670.0,long-term avg.,0.102,9.37,,,,,,,,,,
2099-02-05,13E,753.0,long-term avg.,0.121,9.4,,,,,,,,,,
2099-02-05,13W,681.0,long-term avg.,0.12,9.4,,,,,,,,,,
2099-02-05,15E,872.0,long-term avg.,0.117,9.39,,,,,,,,,,
2099-02-05,17N,917.0,long-term avg.,0.113,9.4,,,,,,,,,,
2099-02-05,18N,900.0,long-term avg.,0.122,9.39,,,,,,,,,,
2099-02-05,19N,984.0,long-term avg.,0.122,9.4,,,,,,,,,,
2099-02-05,1E,702.0,long-term avg.,0.111,9.39,,,,,,,,,,
2099-02-05,1W,685.0,long-term avg.,0.111,9.4,,,,,,,,,,
2099-02-05,20SE,977.0,long-term avg.,0.116,9.4,,,,,,,,,,
2099-02-05,21SE,749.0,long-term avg.,0.117,9.43,,,,,,,,,,
2099-02-05,21SEcorral,590.0,long-term avg.,0.137,9.39,,,,,,,,,,
2099-02-05,21SW,664.0,long-term avg.,0.124,9.42,,,,,,,,,,
2099-02-05,23E,930.0,long-term avg.,0.117,9.4,,,,,,,,,,
2099-02-05,23W,862.0,long-term avg.,0.129,9.39,,,,,,,,,,
2099-02-05,24 Grazing,838.0,long-term avg.,0.115,9.45,,,,,,,,,,
2099-02-05,24E,955.0,long-term avg.,0.115,9.41,,,,,,,,,,
2099-02-05,24W,953.0,long-term avg.,0.117,9.39,,,,,,,,,,
2099-02-05,25SE,916.0,long-term avg.,0.118,9.4,,,,,,,,,,
2099-02-05,26SE-N Pvt,1002.0,long-term avg.,0.126,9.4,,,,,,,,,,
2099-02-05,26SW-N Pvt.,722.0,long-term avg.,0.121,9.4,,,,,,,,,,
2099-02-05,28N,635.0,long-term avg.,0.121,9.41,,,,,,,,,,
2099-02-05,31W,837.0,long-term avg.,0.121,9.43,,,,,,,,,,
2099-02-05,32W,638.0,long-term avg.,0.117,9.4,,,,,,,,,,
2099-02-05,6EE,643.0,long-term avg.,0.109,9.39,,,,,,,,,,
2099-02-05,6EW,711.0,long-term avg.,0.11,9.39,,,,,,,,,,
2099-02-05,7NW,881.0,long-term avg.,0.109,9.4,,,,,,,,,,
2099-02-05,CenterCreek,730.0,long-term avg.,0.12,9.4,,,,,,,,,,
2099-02-05,CenterCreek - Longspur,865.0,long-term avg.,0.123,9.4,,,,,,,,,,
2099-02-05,CenterCreek - Prairie Dog,789.0,long-term avg.,0.119,9.4,,,,,,,,,,
2099-02-05,ESA,702.0,long-term avg.,0.133,9.42,,,,,,,,,,
2099-02-05,HQ,636.0,long-term avg.,0.118,9.39,,,,,,,,,,
2099-02-05,HighHawk,692.0,long-term avg.,0.123,9.39,,,,,,,,,,
2099-02-05,HighHawk - Longspur,657.0,long-term avg.,0.117,9.43,,,,,,,,,,
2099-02-05,HighHawk - Prairie Dog,711.0,long-term avg.,0.122,9.4,,,,,,,,,,
2099-02-05,LTER1,724.0,long-term avg.,0.133,9.42,,,,,,,,,,
2099-02-05,LTER2,722.0,long-term avg.,0.14,,,,,,,,,,,
2099-02-05,LTER3,649.0,long-term avg.,0.13,9.4,,,,,,,,,,
2099-02-05,LTER4,600.0,long-term avg.,0.127,9.4,,,,,,,,,,
2099-02-05,OwlCreek,902.0,long-term avg.,0.123,9.4,,,,,,,,,,
2099-02-05,OwlCreek - Longspur,743.0,long-term avg.,0.115,9.4,,,,,,,,,,
2099-02-05,OwlCreek - Prairie Dog,924.0,long-term avg.,0.118,9.4,,,,,,,,,,
2099-02-05,PrairieRidge,791.0,long-term avg.,0.109,9.4,,,,,,,,,,
2099-02-05,Pvt-12NE,642.0,long-term avg.,0.109,9.39,,,,,,,,,,
2099-02-05,Pvt-14,722.0,long-term avg.,0.121,9.39,,,,,,,,,,
2099-02-05,Pvt-30SW,876.0,long-term avg.,0.122,9.4,,,,,,,,,,
2099-02-05,Pvt-8SW,660.0,long-term avg.,0.11,9.41,,,,,,,,,,
2099-02-05,Res. #2,887.0,long-term avg.,0.122,9.39,,,,,,,,,,
2099-02-05,SaltTree,889.0,long-term avg.,0.119,9.39,,,,,,,,,,
2099-02-05,Slayton,674.0,long-term avg.,0.113,9.39,,,,,,,,,,
2099-02-05,Spring,511.0,long-term avg.,0.149,,,,,,,,,,,
2099-02-05,UNK,788.0,long-term avg.,0.117,9.4,,,,,,,,,,
2099-02-05,WeatherStation,876.0,long-term avg.,0.136,9.36,,,,,,,,,,
2099-02-12,12C,621.0,long-term avg.,0.112,9.32,,,,,,,,,,
2099-02-12,12NW,649.0,long-term avg.,0.111,9.34,,,,,,,,,,
2099-02-12,12NWcorner,579.0,long-term avg.,0.142,9.42,,,,,,,,,,
2099-02-12,12SE-N,639.0,long-term avg.,0.097,9.36,,,,,,,,,,
2099-02-12,13E,713.0,long-term avg.,0.115,9.34,,,,,,,,,,
2099-02-12,13W,655.0,long-term avg.,0.114,9.35,,,,,,,,,,
2099-02-12,15E,837.0,long-term avg.,0.11,9.34,,,,,,,,,,
2099-02-12,17N,900.0,long-term avg.,0.11,9.37,,,,,,,,,,
2099-02-12,18N,851.0,long-term avg.,0.119,9.34,,,,,,,,,,
2099-02-12,19N,953.0,long-term avg.,0.12,9.36,,,,,,,,,,
2099-02-12,1E,678.0,long-term avg.,0.105,9.34,,,,,,,,,,
2099-02-12,1W,666.0,long-term avg.,0.106,9.35,,,,,,,,,,
2099-02-12,20SE,944.0,long-term avg.,0.113,9.36,,,,,,,,,,
2099-02-12,21SE,712.0,long-term avg.,0.113,9.36,,,,,,,,,,
2099-02-12,21SEcorral,545.0,long-term avg.,0.13,9.34,,,,,,,,,,
2099-02-12,21SW,626.0,long-term avg.,0.118,9.37,,,,,,,,,,
2099-02-12,23E,872.0,long-term avg.,0.115,9.35,,,,,,,,,,
2099-02-12,23W,820.0,long-term avg.,0.124,9.37,,,,,,,,,,
2099-02-12,24 Grazing,784.0,long-term avg.,0.112,9.36,,,,,,,,,,
2099-02-12,24E,909.0,long-term avg.,0.115,9.37,,,,,,,,,,
2099-02-12,24W,905.0,long-term avg.,0.115,9.36,,,,,,,,,,
2099-02-12,25SE,873.0,long-term avg.,0.114,9.35,,,,,,,,,,
2099-02-12,26SE-N Pvt,941.0,long-term avg.,0.119,9.39,,,,,,,,,,
2099-02-12,26SW-N Pvt.,684.0,long-term avg.,0.116,9.36,,,,,,,,,,
2099-02-12,28N,605.0,long-term avg.,0.118,9.37,,,,,,,,,,
2099-02-12,31W,809.0,long-term avg.,0.117,9.33,,,,,,,,,,
2099-02-12,32W,626.0,long-term avg.,0.112,9.36,,,,,,,,,,
2099-02-12,6EE,625.0,long-term avg.,0.104,9.35,,,,,,,,,,
2099-02-12,6EW,688.0,long-term avg.,0.105,9.35,,,,,,,,,,
2099-02-12,7NW,837.0,long-term avg.,0.106,9.37,,,,,,,,,,
2099-02-12,CenterCreek,665.0,long-term avg.,0.113,9.37,,,,,,,,,,
2099-02-12,CenterCreek - Longspur,812.0,long-term avg.,0.119,9.37,,,,,,,,,,
2099-02-12,CenterCreek - Prairie Dog,744.0,long-term avg.,0.115,9.34,,,,,,,,,,
2099-02-12,ESA,649.0,long-term avg.,0.13,9.38,,,,,,,,,,
2099-02-12,HQ,617.0,long-term avg.,0.117,9.31,,,,,,,,,,
2099-02-12,HighHawk,660.0,long-term avg.,0.117,9.35,,,,,,,,,,
2099-02-12,HighHawk - Longspur,624.0,long-term avg.,0.112,9.38,,,,,,,,,,
2099-02-12,HighHawk - Prairie Dog,682.0,long-term avg.,0.116,9.35,,,,,,,,,,
2099-02-12,LTER1,659.0,long-term avg.,0.127,9.39,,,,,,,,,,
2099-02-12,LTER2,638.0,long-term avg.,0.133,9.37,,,,,,,,,,
2099-02-12,LTER3,593.0,long-term avg.,0.125,9.37,,,,,,,,,,
2099-02-12,LTER4,554.0,long-term avg.,0.122,9.36,,,,,,,,,,
2099-02-12,OwlCreek,877.0,long-term avg.,0.12,9.36,,,,,,,,,,
2099-02-12,OwlCreek - Longspur,725.0,long-term avg.,0.112,9.35,,,,,,,,,,
2099-02-12,OwlCreek - Prairie Dog,898.0,long-term avg.,0.117,9.35,,,,,,,,,,
2099-02-12,PrairieRidge,771.0,long-term avg.,0.104,9.36,,,,,,,,,,
2099-02-12,Pvt-12NE,612.0,long-term avg.,0.103,9.35,,,,,,,,,,
2099-02-12,Pvt-14,687.0,long-term avg.,0.119,9.34,,,,,,,,,,
2099-02-12,Pvt-30SW,850.0,long-term avg.,0.115,9.34,,,,,,,,,,
2099-02-12,Pvt-8SW,646.0,long-term avg.,0.106,9.38,,,,,,,,,,
2099-02-12,Res. #2,837.0,long-term avg.,0.125,9.4,,,,,,,,,,
2099-02-12,SaltTree,856.0,long-term avg.,0.114,9.35,,,,,,,,,,
2099-02-12,Slayton,652.0,long-term avg.,0.112,9.34,,,,,,,,,,
2099-02-12,Spring,479.0,long-term avg.,0.141,,,,,,,,,,,
2099-02-12,UNK,758.0,long-term avg.,0.113,9.35,,,,,,,,,,
2099-02-12,WeatherStation,808.0,long-term avg.,0.127,9.29,,,,,,,,,,
2099-02-19,12C,594.0,long-term avg.,0.121,9.31,,,,,,,,,,
2099-02-19,12NW,630.0,long-term avg.,0.121,9.31,,,,,,,,,,
2099-02-19,12NWcorner,555.0,long-term avg.,0.149,9.26,,,,,,,,,,
2099-02-19,12SE-N,620.0,long-term avg.,0.106,9.37,,,,,,,,,,
2099-02-19,13E,681.0,long-term avg.,0.125,9.27,,,,,,,,,,
2099-02-19,13W,633.0,long-term avg.,0.124,9.33,,,,,,,,,,
