date,Pasture,NDVI,Year,Biomass,BARE,SD,GREEN,LITT
2099-01-01,7NW,0.124,30-yr avg.,,,,,
2099-01-01,8NW,0.118,30-yr avg.,,,,,
2099-01-01,8SE,0.124,30-yr avg.,,,,,
2099-01-01,8SW,0.13,30-yr avg.,,,,,
2099-01-01,CN,0.147,30-yr avg.,,,,,
2099-01-01,Crossroads,0.145,30-yr avg.,,,,,
2099-01-01,Elm,0.147,30-yr avg.,,,,,
2099-01-01,HQ,0.132,30-yr avg.,,,,,
2099-01-01,Headquarters,0.131,30-yr avg.,,,,,
2099-01-01,Highway,0.144,30-yr avg.,,,,,
2099-01-01,Hilltank,0.148,30-yr avg.,,,,,
2099-01-01,Nighthawk,0.133,30-yr avg.,,,,,
2099-01-01,Ridgeline,0.129,30-yr avg.,,,,,
2099-01-01,Saltflat,0.137,30-yr avg.,,,,,
2099-01-01,Slayton,0.131,30-yr avg.,,,,,
2099-01-01,Snowfence,0.146,30-yr avg.,,,,,
2099-01-01,South,0.142,30-yr avg.,,,,,
2099-01-01,UNK,0.138,30-yr avg.,,,,,
2099-01-08,10SNE,0.134,30-yr avg.,,,,,
2099-01-08,11NS,0.133,30-yr avg.,,,,,
2099-01-08,11NW,0.128,30-yr avg.,,,,,
2099-01-08,12C,0.13,30-yr avg.,,,,,
2099-01-08,12NE,0.125,30-yr avg.,,,,,
2099-01-08,12NW,0.13,30-yr avg.,,,,,
2099-01-08,13E,0.141,30-yr avg.,,,,,
2099-01-08,13W,0.137,30-yr avg.,,,,,
2099-01-08,14,0.137,30-yr avg.,,,,,
2099-01-08,15E,0.131,30-yr avg.,,,,,
2099-01-08,15NWS,0.129,30-yr avg.,,,,,
2099-01-08,15SW,0.132,30-yr avg.,,,,,
2099-01-08,17N,0.13,30-yr avg.,,,,,
2099-01-08,18N,0.142,30-yr avg.,,,,,
2099-01-08,19N,0.147,30-yr avg.,,,,,
2099-01-08,19S,0.139,30-yr avg.,,,,,
2099-01-08,1E,0.124,30-yr avg.,,,,,
2099-01-08,1W,0.123,30-yr avg.,,,,,
2099-01-08,20SE,0.138,30-yr avg.,,,,,
2099-01-08,21S,0.141,30-yr avg.,,,,,
2099-01-08,22E,0.145,30-yr avg.,,,,,
2099-01-08,22W,0.133,30-yr avg.,,,,,
2099-01-08,23E,0.136,30-yr avg.,,,,,
2099-01-08,23W,0.148,30-yr avg.,,,,,
2099-01-08,24E,0.134,30-yr avg.,,,,,
2099-01-08,24Strip,0.13,30-yr avg.,,,,,
2099-01-08,24W,0.134,30-yr avg.,,,,,
2099-01-08,25SE,0.133,30-yr avg.,,,,,
2099-01-08,26E,0.14,30-yr avg.,,,,,
2099-01-08,28N,0.137,30-yr avg.,,,,,
2099-01-08,29-30,0.142,30-yr avg.,,,,,
2099-01-08,30NW,0.136,30-yr avg.,,,,,
2099-01-08,30SW,0.139,30-yr avg.,,,,,
2099-01-08,31E,0.133,30-yr avg.,,,,,
2099-01-08,32W,0.136,30-yr avg.,,,,,
2099-01-08,5E,0.124,30-yr avg.,,,,,
2099-01-08,5W,0.121,30-yr avg.,,,,,
2099-01-08,6EE,0.121,30-yr avg.,,,,,
2099-01-08,6EW,0.124,30-yr avg.,,,,,
2099-01-08,7NW,0.125,30-yr avg.,,,,,
2099-01-08,8NW,0.116,30-yr avg.,,,,,
2099-01-08,8SE,0.121,30-yr avg.,,,,,
2099-01-08,8SW,0.126,30-yr avg.,,,,,
2099-01-08,CN,0.138,30-yr avg.,,,,,
2099-01-08,Crossroads,0.14,30-yr avg.,,,,,
2099-01-08,Elm,0.142,30-yr avg.,,,,,
2099-01-08,HQ,0.132,30-yr avg.,,,,,
2099-01-08,Headquarters,0.128,30-yr avg.,,,,,
2099-01-08,Highway,0.133,30-yr avg.,,,,,
2099-01-08,Hilltank,0.141,30-yr avg.,,,,,
2099-01-08,Nighthawk,0.126,30-yr avg.,,,,,
2099-01-08,Ridgeline,0.126,30-yr avg.,,,,,
2099-01-08,Saltflat,0.134,30-yr avg.,,,,,
2099-01-08,Slayton,0.128,30-yr avg.,,,,,
2099-01-08,Snowfence,0.14,30-yr avg.,,,,,
2099-01-08,South,0.135,30-yr avg.,,,,,
2099-01-08,UNK,0.132,30-yr avg.,,,,,
2099-01-15,10SNE,0.132,30-yr avg.,,,,,
2099-01-15,11NS,0.127,30-yr avg.,,,,,
2099-01-15,11NW,0.126,30-yr avg.,,,,,
2099-01-15,12C,0.124,30-yr avg.,,,,,
2099-01-15,12NE,0.118,30-yr avg.,,,,,
2099-01-15,12NW,0.124,30-yr avg.,,,,,
2099-01-15,13E,0.132,30-yr avg.,,,,,
2099-01-15,13W,0.128,30-yr avg.,,,,,
2099-01-15,14,0.129,30-yr avg.,,,,,
2099-01-15,15E,0.123,30-yr avg.,,,,,
2099-01-15,15NWS,0.122,30-yr avg.,,,,,
2099-01-15,15SW,0.123,30-yr avg.,,,,,
2099-01-15,17N,0.122,30-yr avg.,,,,,
2099-01-15,18N,0.133,30-yr avg.,,,,,
2099-01-15,19N,0.135,30-yr avg.,,,,,
2099-01-15,19S,0.13,30-yr avg.,,,,,
2099-01-15,1E,0.116,30-yr avg.,,,,,
2099-01-15,1W,0.115,30-yr avg.,,,,,
2099-01-15,20SE,0.128,30-yr avg.,,,,,
2099-01-15,21S,0.131,30-yr avg.,,,,,
2099-01-15,22E,0.138,30-yr avg.,,,,,
2099-01-15,22W,0.124,30-yr avg.,,,,,
2099-01-15,23E,0.127,30-yr avg.,,,,,
2099-01-15,23W,0.139,30-yr avg.,,,,,
2099-01-15,24E,0.127,30-yr avg.,,,,,
2099-01-15,24Strip,0.118,30-yr avg.,,,,,
2099-01-15,24W,0.125,30-yr avg.,,,,,
2099-01-15,25SE,0.124,30-yr avg.,,,,,
2099-01-15,26E,0.131,30-yr avg.,,,,,
2099-01-15,28N,0.129,30-yr avg.,,,,,
2099-01-15,29-30,0.13,30-yr avg.,,,,,
2099-01-15,30NW,0.13,30-yr avg.,,,,,
2099-01-15,30SW,0.134,30-yr avg.,,,,,
2099-01-15,31E,0.124,30-yr avg.,,,,,
2099-01-15,32W,0.124,30-yr avg.,,,,,
2099-01-15,5E,0.115,30-yr avg.,,,,,
2099-01-15,5W,0.113,30-yr avg.,,,,,
2099-01-15,6EE,0.115,30-yr avg.,,,,,
2099-01-15,6EW,0.118,30-yr avg.,,,,,
2099-01-15,7NW,0.12,30-yr avg.,,,,,
2099-01-15,8NW,0.111,30-yr avg.,,,,,
2099-01-15,8SE,0.114,30-yr avg.,,,,,
2099-01-15,8SW,0.119,30-yr avg.,,,,,
2099-01-15,CN,0.129,30-yr avg.,,,,,
2099-01-15,Crossroads,0.13,30-yr avg.,,,,,
2099-01-15,Elm,0.129,30-yr avg.,,,,,
2099-01-15,HQ,0.127,30-yr avg.,,,,,
2099-01-15,Headquarters,0.119,30-yr avg.,,,,,
2099-01-15,Highway,0.125,30-yr avg.,,,,,
2099-01-15,Hilltank,0.132,30-yr avg.,,,,,
2099-01-15,Nighthawk,0.12,30-yr avg.,,,,,
2099-01-15,Ridgeline,0.118,30-yr avg.,,,,,
2099-01-15,Saltflat,0.124,30-yr avg.,,,,,
2099-01-15,Slayton,0.123,30-yr avg.,,,,,
2099-01-15,Snowfence,0.129,30-yr avg.,,,,,
2099-01-15,South,0.126,30-yr avg.,,,,,
2099-01-15,UNK,0.125,30-yr avg.,,,,,
2099-01-22,10SNE,0.132,30-yr avg.,,,,,
2099-01-22,11NS,0.126,30-yr avg.,,,,,
2099-01-22,11NW,0.125,30-yr avg.,,,,,
2099-01-22,12C,0.125,30-yr avg.,,,,,
2099-01-22,12NE,0.119,30-yr avg.,,,,,
2099-01-22,12NW,0.126,30-yr avg.,,,,,
2099-01-22,13E,0.131,30-yr avg.,,,,,
2099-01-22,13W,0.129,30-yr avg.,,,,,
2099-01-22,14,0.129,30-yr avg.,,,,,
2099-01-22,15E,0.124,30-yr avg.,,,,,
2099-01-22,15NWS,0.124,30-yr avg.,,,,,
2099-01-22,15SW,0.123,30-yr avg.,,,,,
2099-01-22,17N,0.122,30-yr avg.,,,,,
2099-01-22,18N,0.131,30-yr avg.,,,,,
2099-01-22,19N,0.133,30-yr avg.,,,,,
2099-01-22,19S,0.128,30-yr avg.,,,,,
2099-01-22,1E,0.117,30-yr avg.,,,,,
2099-01-22,1W,0.116,30-yr avg.,,,,,
2099-01-22,20SE,0.127,30-yr avg.,,,,,
2099-01-22,21S,0.132,30-yr avg.,,,,,
2099-01-22,22E,0.139,30-yr avg.,,,,,
2099-01-22,22W,0.125,30-yr avg.,,,,,
2099-01-22,23E,0.127,30-yr avg.,,,,,
2099-01-22,23W,0.14,30-yr avg.,,,,,
2099-01-22,24E,0.125,30-yr avg.,,,,,
2099-01-22,24Strip,0.12,30-yr avg.,,,,,
2099-01-22,24W,0.124,30-yr avg.,,,,,
2099-01-22,25SE,0.124,30-yr avg.,,,,,
2099-01-22,26E,0.132,30-yr avg.,,,,,
2099-01-22,28N,0.129,30-yr avg.,,,,,
2099-01-22,29-30,0.128,30-yr avg.,,,,,
2099-01-22,30NW,0.128,30-yr avg.,,,,,
2099-01-22,30SW,0.134,30-yr avg.,,,,,
2099-01-22,31E,0.123,30-yr avg.,,,,,
2099-01-22,32W,0.124,30-yr avg.,,,,,
2099-01-22,5E,0.117,30-yr avg.,,,,,
2099-01-22,5W,0.114,30-yr avg.,,,,,
2099-01-22,6EE,0.116,30-yr avg.,,,,,
2099-01-22,6EW,0.118,30-yr avg.,,,,,
2099-01-22,7NW,0.12,30-yr avg.,,,,,
2099-01-22,8NW,0.112,30-yr avg.,,,,,
2099-01-22,8SE,0.113,30-yr avg.,,,,,
2099-01-22,8SW,0.12,30-yr avg.,,,,,
2099-01-22,CN,0.129,30-yr avg.,,,,,
2099-01-22,Crossroads,0.13,30-yr avg.,,,,,
2099-01-22,Elm,0.129,30-yr avg.,,,,,
2099-01-22,HQ,0.127,30-yr avg.,,,,,
2099-01-22,Headquarters,0.119,30-yr avg.,,,,,
2099-01-22,Highway,0.126,30-yr avg.,,,,,
2099-01-22,Hilltank,0.131,30-yr avg.,,,,,
2099-01-22,Nighthawk,0.121,30-yr avg.,,,,,
2099-01-22,Ridgeline,0.118,30-yr avg.,,,,,
2099-01-22,Saltflat,0.126,30-yr avg.,,,,,
2099-01-22,Slayton,0.123,30-yr avg.,,,,,
2099-01-22,Snowfence,0.129,30-yr avg.,,,,,
2099-01-22,South,0.127,30-yr avg.,,,,,
2099-01-22,UNK,0.126,30-yr avg.,,,,,
2099-01-29,10SNE,0.124,30-yr avg.,,,,,
2099-01-29,11NS,0.116,30-yr avg.,,,,,
2099-01-29,11NW,0.116,30-yr avg.,,,,,
2099-01-29,12C,0.116,30-yr avg.,,,,,
2099-01-29,12NE,0.112,30-yr avg.,,,,,
2099-01-29,12NW,0.117,30-yr avg.,,,,,
2099-01-29,13E,0.124,30-yr avg.,,,,,
2099-01-29,13W,0.121,30-yr avg.,,,,,
2099-01-29,14,0.122,30-yr avg.,,,,,
2099-01-29,15E,0.12,30-yr avg.,,,,,
2099-01-29,15NWS,0.12,30-yr avg.,,,,,
2099-01-29,15SW,0.12,30-yr avg.,,,,,
2099-01-29,17N,0.115,30-yr avg.,,,,,
2099-01-29,18N,0.124,30-yr avg.,,,,,
2099-01-29,19N,0.125,30-yr avg.,,,,,
2099-01-29,19S,0.122,30-yr avg.,,,,,
2099-01-29,1E,0.112,30-yr avg.,,,,,
2099-01-29,1W,0.112,30-yr avg.,,,,,
2099-01-29,20SE,0.12,30-yr avg.,,,,,
2099-01-29,21S,0.131,30-yr avg.,,,,,
2099-01-29,22E,0.138,30-yr avg.,,,,,
2099-01-29,22W,0.124,30-yr avg.,,,,,
2099-01-29,23E,0.12,30-yr avg.,,,,,
2099-01-29,23W,0.137,30-yr avg.,,,,,
2099-01-29,24E,0.119,30-yr avg.,,,,,
2099-01-29,24Strip,0.114,30-yr avg.,,,,,
2099-01-29,24W,0.12,30-yr avg.,,,,,
2099-01-29,25SE,0.119,30-yr avg.,,,,,
2099-01-29,26E,0.127,30-yr avg.,,,,,
2099-01-29,28N,0.126,30-yr avg.,,,,,
2099-01-29,29-30,0.121,30-yr avg.,,,,,
2099-01-29,30NW,0.121,30-yr avg.,,,,,
2099-01-29,30SW,0.129,30-yr avg.,,,,,
2099-01-29,31E,0.119,30-yr avg.,,,,,
2099-01-29,32W,0.117,30-yr avg.,,,,,
2099-01-29,5E,0.112,30-yr avg.,,,,,
2099-01-29,5W,0.108,30-yr avg.,,,,,
2099-01-29,6EE,0.11,30-yr avg.,,,,,
2099-01-29,6EW,0.112,30-yr avg.,,,,,
2099-01-29,7NW,0.111,30-yr avg.,,,,,
2099-01-29,8NW,0.107,30-yr avg.,,,,,
2099-01-29,8SE,0.106,30-yr avg.,,,,,
2099-01-29,8SW,0.113,30-yr avg.,,,,,
2099-01-29,CN,0.126,30-yr avg.,,,,,
2099-01-29,Crossroads,0.124,30-yr avg.,,,,,
2099-01-29,Elm,0.121,30-yr avg.,,,,,
2099-01-29,HQ,0.119,30-yr avg.,,,,,
2099-01-29,Headquarters,0.112,30-yr avg.,,,,,
2099-01-29,Highway,0.126,30-yr avg.,,,,,
2099-01-29,Hilltank,0.127,30-yr avg.,,,,,
2099-01-29,Nighthawk,0.115,30-yr avg.,,,,,
2099-01-29,Ridgeline,0.112,30-yr avg.,,,,,
2099-01-29,Saltflat,0.119,30-yr avg.,,,,,
2099-01-29,Slayton,0.116,30-yr avg.,,,,,
2099-01-29,Snowfence,0.121,30-yr avg.,,,,,
2099-01-29,South,0.123,30-yr avg.,,,,,
2099-01-29,UNK,0.122,30-yr avg.,,,,,
2099-02-05,10SNE,0.117,30-yr avg.,,,,,
2099-02-05,11NS,0.112,30-yr avg.,,,,,
2099-02-05,11NW,0.11,30-yr avg.,,,,,
2099-02-05,12C,0.114,30-yr avg.,,,,,
2099-02-05,12NE,0.109,30-yr avg.,,,,,
2099-02-05,12NW,0.114,30-yr avg.,,,,,
2099-02-05,13E,0.121,30-yr avg.,,,,,
2099-02-05,13W,0.12,30-yr avg.,,,,,
2099-02-05,14,0.121,30-yr avg.,,,,,
2099-02-05,15E,0.117,30-yr avg.,,,,,
2099-02-05,15NWS,0.116,30-yr avg.,,,,,
2099-02-05,15SW,0.117,30-yr avg.,,,,,
2099-02-05,17N,0.113,30-yr avg.,,,,,
2099-02-05,18N,0.122,30-yr avg.,,,,,
2099-02-05,19N,0.122,30-yr avg.,,,,,
2099-02-05,19S,0.118,30-yr avg.,,,,,
2099-02-05,1E,0.111,30-yr avg.,,,,,
2099-02-05,1W,0.111,30-yr avg.,,,,,
2099-02-05,20SE,0.116,30-yr avg.,,,,,
2099-02-05,21S,0.128,30-yr avg.,,,,,
2099-02-05,22E,0.131,30-yr avg.,,,,,
2099-02-05,22W,0.121,30-yr avg.,,,,,
2099-02-05,23E,0.117,30-yr avg.,,,,,
2099-02-05,23W,0.129,30-yr avg.,,,,,
2099-02-05,24E,0.115,30-yr avg.,,,,,
2099-02-05,24Strip,0.115,30-yr avg.,,,,,
2099-02-05,24W,0.117,30-yr avg.,,,,,
2099-02-05,25SE,0.118,30-yr avg.,,,,,
2099-02-05,26E,0.123,30-yr avg.,,,,,
2099-02-05,28N,0.121,30-yr avg.,,,,,
2099-02-05,29-30,0.12,30-yr avg.,,,,,
2099-02-05,30NW,0.116,30-yr avg.,,,,,
2099-02-05,30SW,0.122,30-yr avg.,,,,,
2099-02-05,31E,0.117,30-yr avg.,,,,,
2099-02-05,32W,0.117,30-yr avg.,,,,,
2099-02-05,5E,0.112,30-yr avg.,,,,,
2099-02-05,5W,0.107,30-yr avg.,,,,,
2099-02-05,6EE,0.109,30-yr avg.,,,,,
2099-02-05,6EW,0.11,30-yr avg.,,,,,
2099-02-05,7NW,0.109,30-yr avg.,,,,,
2099-02-05,8NW,0.105,30-yr avg.,,,,,
2099-02-05,8SE,0.105,30-yr avg.,,,,,
2099-02-05,8SW,0.11,30-yr avg.,,,,,
2099-02-05,CN,0.122,30-yr avg.,,,,,
2099-02-05,Crossroads,0.122,30-yr avg.,,,,,
2099-02-05,Elm,0.119,30-yr avg.,,,,,
2099-02-05,HQ,0.118,30-yr avg.,,,,,
2099-02-05,Headquarters,0.11,30-yr avg.,,,,,
2099-02-05,Highway,0.124,30-yr avg.,,,,,
2099-02-05,Hilltank,0.121,30-yr avg.,,,,,
2099-02-05,Nighthawk,0.111,30-yr avg.,,,,,
2099-02-05,Ridgeline,0.109,30-yr avg.,,,,,
2099-02-05,Saltflat,0.118,30-yr avg.,,,,,
2099-02-05,Slayton,0.113,30-yr avg.,,,,,
2099-02-05,Snowfence,0.12,30-yr avg.,,,,,
2099-02-05,South,0.121,30-yr avg.,,,,,
2099-02-05,UNK,0.118,30-yr avg.,,,,,
2099-02-12,10SNE,0.118,30-yr avg.,,,,,
2099-02-12,11NS,0.111,30-yr avg.,,,,,
2099-02-12,11NW,0.109,30-yr avg.,,,,,
2099-02-12,12C,0.109,30-yr avg.,,,,,
2099-02-12,12NE,0.103,30-yr avg.,,,,,
2099-02-12,12NW,0.111,30-yr avg.,,,,,
2099-02-12,13E,0.115,30-yr avg.,,,,,
2099-02-12,13W,0.114,30-yr avg.,,,,,
2099-02-12,14,0.119,30-yr avg.,,,,,
2099-02-12,15E,0.11,30-yr avg.,,,,,
2099-02-12,15NWS,0.11,30-yr avg.,,,,,
2099-02-12,15SW,0.112,30-yr avg.,,,,,
2099-02-12,17N,0.11,30-yr avg.,,,,,
2099-02-12,18N,0.119,30-yr avg.,,,,,
2099-02-12,19N,0.12,30-yr avg.,,,,,
2099-02-12,19S,0.117,30-yr avg.,,,,,
2099-02-12,1E,0.105,30-yr avg.,,,,,
2099-02-12,1W,0.106,30-yr avg.,,,,,
2099-02-12,20SE,0.113,30-yr avg.,,,,,
2099-02-12,21S,0.122,30-yr avg.,,,,,
2099-02-12,22E,0.125,30-yr avg.,,,,,
2099-02-12,22W,0.115,30-yr avg.,,,,,
2099-02-12,23E,0.115,30-yr avg.,,,,,
2099-02-12,23W,0.124,30-yr avg.,,,,,
2099-02-12,24E,0.115,30-yr avg.,,,,,
2099-02-12,24Strip,0.112,30-yr avg.,,,,,
2099-02-12,24W,0.115,30-yr avg.,,,,,
2099-02-12,25SE,0.114,30-yr avg.,,,,,
2099-02-12,26E,0.119,30-yr avg.,,,,,
2099-02-12,28N,0.118,30-yr avg.,,,,,
2099-02-12,29-30,0.118,30-yr avg.,,,,,
2099-02-12,30NW,0.114,30-yr avg.,,,,,
2099-02-12,30SW,0.115,30-yr avg.,,,,,
2099-02-12,31E,0.113,30-yr avg.,,,,,
2099-02-12,32W,0.112,30-yr avg.,,,,,
2099-02-12,5E,0.104,30-yr avg.,,,,,
2099-02-12,5W,0.101,30-yr avg.,,,,,
2099-02-12,6EE,0.104,30-yr avg.,,,,,
2099-02-12,6EW,0.105,30-yr avg.,,,,,
2099-02-12,7NW,0.106,30-yr avg.,,,,,
2099-02-12,8NW,0.102,30-yr avg.,,,,,
2099-02-12,8SE,0.101,30-yr avg.,,,,,
2099-02-12,8SW,0.106,30-yr avg.,,,,,
2099-02-12,CN,0.116,30-yr avg.,,,,,
2099-02-12,Crossroads,0.118,30-yr avg.,,,,,
2099-02-12,Elm,0.114,30-yr avg.,,,,,
2099-02-12,HQ,0.117,30-yr avg.,,,,,
2099-02-12,Headquarters,0.108,30-yr avg.,,,,,
2099-02-12,Highway,0.118,30-yr avg.,,,,,
2099-02-12,Hilltank,0.117,30-yr avg.,,,,,
2099-02-12,Nighthawk,0.106,30-yr avg.,,,,,
2099-02-12,Ridgeline,0.105,30-yr avg.,,,,,
2099-02-12,Saltflat,0.112,30-yr avg.,,,,,
2099-02-12,Slayton,0.111,30-yr avg.,,,,,
2099-02-12,Snowfence,0.114,30-yr avg.,,,,,
2099-02-12,South,0.117,30-yr avg.,,,,,
2099-02-12,UNK,0.113,30-yr avg.,,,,,
2099-02-19,10SNE,0.127,30-yr avg.,,,,,
2099-02-19,11NS,0.121,30-yr avg.,,,,,
2099-02-19,11NW,0.118,30-yr avg.,,,,,
2099-02-19,12C,0.119,30-yr avg.,,,,,
2099-02-19,12NE,0.111,30-yr avg.,,,,,
2099-02-19,12NW,0.121,30-yr avg.,,,,,
2099-02-19,13E,0.125,30-yr avg.,,,,,
2099-02-19,13W,0.124,30-yr avg.,,,,,
2099-02-19,14,0.129,30-yr avg.,,,,,
2099-02-19,15E,0.12,30-yr avg.,,,,,
2099-02-19,15NWS,0.117,30-yr avg.,,,,,
2099-02-19,15SW,0.121,30-yr avg.,,,,,
2099-02-19,17N,0.116,30-yr avg.,,,,,
2099-02-19,18N,0.129,30-yr avg.,,,,,
2099-02-19,19N,0.131,30-yr avg.,,,,,
2099-02-19,19S,0.126,30-yr avg.,,,,,
2099-02-19,1E,0.109,30-yr avg.,,,,,
2099-02-19,1W,0.111,30-yr avg.,,,,,
2099-02-19,20SE,0.122,30-yr avg.,,,,,
2099-02-19,21S,0.132,30-yr avg.,,,,,
2099-02-19,22E,0.135,30-yr avg.,,,,,
2099-02-19,22W,0.125,30-yr avg.,,,,,
2099-02-19,23E,0.127,30-yr avg.,,,,,
2099-02-19,23W,0.136,30-yr avg.,,,,,
2099-02-19,24E,0.126,30-yr avg.,,,,,
2099-02-19,24Strip,0.124,30-yr avg.,,,,,
2099-02-19,24W,0.127,30-yr avg.,,,,,
2099-02-19,25SE,0.123,30-yr avg.,,,,,
2099-02-19,26E,0.13,30-yr avg.,,,,,
2099-02-19,28N,0.127,30-yr avg.,,,,,
2099-02-19,29-30,0.129,30-yr avg.,,,,,
2099-02-19,30NW,0.124,30-yr avg.,,,,,
2099-02-19,30SW,0.124,30-yr avg.,,,,,
2099-02-19,31E,0.123,30-yr avg.,,,,,
2099-02-19,32W,0.124,30-yr avg.,,,,,
2099-02-19,5E,0.109,30-yr avg.,,,,,
2099-02-19,5W,0.106,30-yr avg.,,,,,
2099-02-19,6EE,0.108,30-yr avg.,,,,,
2099-02-19,6EW,0.111,30-yr avg.,,,,,
2099-02-19,7NW,0.115,30-yr avg.,,,,,
2099-02-19,8NW,0.106,30-yr avg.,,,,,
2099-02-19,8SE,0.107,30-yr avg.,,,,,
2099-02-19,8SW,0.111,30-yr avg.,,,,,
2099-02-19,CN,0.127,30-yr avg.,,,,,
2099-02-19,Crossroads,0.128,30-yr avg.,,,,,
2099-02-19,Elm,0.122,30-yr avg.,,,,,
2099-02-19,HQ,0.126,30-yr avg.,,,,,
2099-02-19,Headquarters,0.115,30-yr avg.,,,,,
2099-02-19,Highway,0.127,30-yr avg.,,,,,
2099-02-19,Hilltank,0.129,30-yr avg.,,,,,
2099-02-19,Nighthawk,0.116,30-yr avg.,,,,,
2099-02-19,Ridgeline,0.11,30-yr avg.,,,,,
2099-02-19,Saltflat,0.119,30-yr avg.,,,,,
2099-02-19,Slayton,0.119,30-yr avg.,,,,,
2099-02-19,Snowfence,0.124,30-yr avg.,,,,,
2099-02-19,South,0.126,30-yr avg.,,,,,
2099-02-19,UNK,0.123,30-yr avg.,,,,,
2099-02-26,10SNE,0.135,30-yr avg.,,,,,
2099-02-26,11NS,0.129,30-yr avg.,,,,,
2099-02-26,11NW,0.125,30-yr avg.,,,,,
2099-02-26,12C,0.125,30-yr avg.,,,,,
2099-02-26,12NE,0.115,30-yr avg.,,,,,
2099-02-26,12NW,0.126,30-yr avg.,,,,,
2099-02-26,13E,0.133,30-yr avg.,,,,,
2099-02-26,13W,0.132,30-yr avg.,,,,,
2099-02-26,14,0.135,30-yr avg.,,,,,
2099-02-26,15E,0.128,30-yr avg.,,,,,
2099-02-26,15NWS,0.126,30-yr avg.,,,,,
2099-02-26,15SW,0.128,30-yr avg.,,,,,
2099-02-26,17N,0.122,30-yr avg.,,,,,
2099-02-26,18N,0.135,30-yr avg.,,,,,
2099-02-26,19N,0.138,30-yr avg.,,,,,
2099-02-26,19S,0.135,30-yr avg.,,,,,
2099-02-26,1E,0.112,30-yr avg.,,,,,
2099-02-26,1W,0.116,30-yr avg.,,,,,
2099-02-26,20SE,0.128,30-yr avg.,,,,,
2099-02-26,21S,0.141,30-yr avg.,,,,,
2099-02-26,22E,0.143,30-yr avg.,,,,,
2099-02-26,22W,0.133,30-yr avg.,,,,,
2099-02-26,23E,0.137,30-yr avg.,,,,,
2099-02-26,23W,0.146,30-yr avg.,,,,,
2099-02-26,24E,0.135,30-yr avg.,,,,,
2099-02-26,24Strip,0.132,30-yr avg.,,,,,
2099-02-26,24W,0.136,30-yr avg.,,,,,
2099-02-26,25SE,0.131,30-yr avg.,,,,,
2099-02-26,26E,0.14,30-yr avg.,,,,,
2099-02-26,28N,0.137,30-yr avg.,,,,,
2099-02-26,29-30,0.137,30-yr avg.,,,,,
2099-02-26,30NW,0.132,30-yr avg.,,,,,
2099-02-26,30SW,0.131,30-yr avg.,,,,,
2099-02-26,31E,0.131,30-yr avg.,,,,,
2099-02-26,32W,0.132,30-yr avg.,,,,,
2099-02-26,5E,0.112,30-yr avg.,,,,,
2099-02-26,5W,0.109,30-yr avg.,,,,,
2099-02-26,6EE,0.111,30-yr avg.,,,,,
2099-02-26,6EW,0.113,30-yr avg.,,,,,
2099-02-26,7NW,0.118,30-yr avg.,,,,,
2099-02-26,8NW,0.109,30-yr avg.,,,,,
2099-02-26,8SE,0.111,30-yr avg.,,,,,
2099-02-26,8SW,0.115,30-yr avg.,,,,,
2099-02-26,CN,0.137,30-yr avg.,,,,,
